Part 1: 248131121
Part 2: 31580383
         83659 function calls (81445 primitive calls) in 0.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.524    0.044 __init__.py:1(<module>)
    437/1    0.001    0.000    0.380    0.380 {built-in method builtins.exec}
        1    0.000    0.000    0.380    0.380 day9.py:1(<module>)
    157/2    0.001    0.000    0.318    0.159 <frozen importlib._bootstrap>:986(_find_and_load)
    157/2    0.001    0.000    0.318    0.159 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    146/2    0.001    0.000    0.317    0.158 <frozen importlib._bootstrap>:650(_load_unlocked)
    111/2    0.000    0.000    0.317    0.158 <frozen importlib._bootstrap_external>:777(exec_module)
    226/2    0.000    0.000    0.315    0.157 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   188/16    0.000    0.000    0.198    0.012 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    319/8    0.000    0.000    0.198    0.025 {built-in method builtins.__import__}
        1    0.112    0.112    0.112    0.112 {built-in method mkl._py_mkl_service.get_version}
      111    0.002    0.000    0.075    0.001 <frozen importlib._bootstrap_external>:849(get_code)
      111    0.001    0.000    0.057    0.001 <frozen importlib._bootstrap_external>:969(get_data)
  146/143    0.000    0.000    0.049    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    33/31    0.000    0.000    0.045    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    33/31    0.043    0.001    0.045    0.001 {built-in method _imp.create_dynamic}
        2    0.001    0.001    0.035    0.017 day9.py:19(find_sequence)
      983    0.034    0.000    0.034    0.000 {built-in method builtins.sum}
      111    0.029    0.000    0.029    0.000 {built-in method io.open_code}
      154    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.028    0.028 _pickle.py:1(<module>)
        1    0.000    0.000    0.027    0.027 multiarray.py:1(<module>)
      152    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      111    0.026    0.000    0.026    0.000 {method 'read' of '_io.BufferedReader' objects}
      152    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
    33/22    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
    33/22    0.002    0.000    0.026    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.025    0.025 overrides.py:1(<module>)
      316    0.001    0.000    0.023    0.000 overrides.py:166(decorator)
      306    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.018    0.009 day9.py:37(find_first_invalid)
      576    0.018    0.000    0.018    0.000 day9.py:6(check_if_valid)
        1    0.000    0.000    0.017    0.017 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
      628    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      630    0.017    0.000    0.017    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.016    0.016 secrets.py:1(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:26(<module>)
      316    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.015    0.015 npyio.py:1(<module>)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
        1    0.000    0.000    0.013    0.013 py3k.py:1(<module>)
      111    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      183    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      197    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      111    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.011    0.011 _datasource.py:1(<module>)
        1    0.000    0.000    0.010    0.010 shutil.py:1(<module>)
        2    0.000    0.000    0.009    0.005 npyio.py:822(loadtxt)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
        2    0.000    0.000    0.008    0.004 shape_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 hmac.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:32(__enter__)
        4    0.002    0.001    0.006    0.002 npyio.py:1060(read_data)
      135    0.000    0.000    0.006    0.000 re.py:289(_compile)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
       22    0.000    0.000    0.006    0.000 sre_compile.py:759(compile)
       19    0.000    0.000    0.005    0.000 re.py:250(compile)
        1    0.000    0.000    0.005    0.005 linalg.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
  242/241    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 financial.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      146    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       22    0.000    0.000    0.003    0.000 sre_parse.py:937(parse)
      358    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
    61/22    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
      273    0.000    0.000    0.003    0.000 function_base.py:460(add_newdoc)
    64/24    0.001    0.000    0.003    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
     1522    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.003    0.003 hashlib.py:5(<module>)
       14    0.000    0.000    0.002    0.000 hashlib.py:123(__get_openssl_constructor)
        8    0.000    0.000    0.002    0.000 hashlib.py:79(__get_builtin_constructor)
       54    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        2    0.000    0.000    0.002    0.001 _datasource.py:231(open)
       22    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _datasource.py:577(open)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
      111    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
     1022    0.001    0.000    0.002    0.000 npyio.py:1048(split_line)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
      326    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
      222    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        2    0.000    0.000    0.002    0.001 _datasource.py:427(_findfile)
   133/22    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
      255    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      299    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      612    0.001    0.000    0.002    0.000 _inspect.py:67(getargs)
        4    0.000    0.000    0.001    0.000 _datasource.py:367(_possible_names)
        6    0.000    0.000    0.001    0.000 _datasource.py:337(_iszip)
       10    0.000    0.000    0.001    0.000 _datasource.py:206(keys)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       12    0.000    0.000    0.001    0.000 _datasource.py:173(_load)
       23    0.000    0.000    0.001    0.000 overrides.py:206(decorator)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      456    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
     1522    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     3848    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        8    0.000    0.000    0.001    0.000 __init__.py:313(namedtuple)
     1020    0.001    0.000    0.001    0.000 npyio.py:1087(<listcomp>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      456    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
6862/6721    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
     6056    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       14    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      456    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
      592    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      628    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10319c808}
       18    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     1022    0.001    0.000    0.001    0.000 _internal.py:875(__call__)
      111    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
     1882    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       55    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1669    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1531    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
      992    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
       22    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
      273    0.000    0.000    0.000    0.000 function_base.py:446(_add_docstring)
     1026    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      333    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       26    0.000    0.000    0.000    0.000 core.py:6660(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      557    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       26    0.000    0.000    0.000    0.000 core.py:6665(getdoc)
     3268    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3650    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
   164/53    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
     1838    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      107    0.000    0.000    0.000    0.000 re.py:188(match)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
     1240    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
     1314    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
      693    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        4    0.000    0.000    0.000    0.000 core.py:122(doc_note)
        2    0.000    0.000    0.000    0.000 _datasource.py:322(__init__)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
      108    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        2    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        5    0.000    0.000    0.000    0.000 re.py:203(sub)
        1    0.000    0.000    0.000    0.000 __init__.py:239(_sanity_check)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
     1024    0.000    0.000    0.000    0.000 _iotools.py:20(_decode_line)
     1077    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       31    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
     1077    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
      111    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      324    0.000    0.000    0.000    0.000 functools.py:64(wraps)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
       18    0.000    0.000    0.000    0.000 core.py:1003(__init__)
        6    0.000    0.000    0.000    0.000 _datasource.py:376(_isurl)
       22    0.000    0.000    0.000    0.000 enum.py:828(__and__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
      928    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
     1038    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      351    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        8    0.000    0.000    0.000    0.000 parse.py:366(urlparse)
     1020    0.000    0.000    0.000    0.000 npyio.py:1031(pack_items)
      184    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      315    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      318    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
       75    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
      353    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      300    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6358(__new__)
       55    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      219    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
      474    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      315    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      334    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 random.py:78(Random)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fdfe6dc24c0}
       50    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       11    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7996(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       77    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    27/13    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 datetime.py:2179(timezone)
        2    0.000    0.000    0.000    0.000 _datasource.py:458(abspath)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
    27/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8001(getdoc)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        8    0.000    0.000    0.000    0.000 parse.py:417(urlsplit)
       44    0.000    0.000    0.000    0.000 enum.py:278(__call__)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
       22    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       42    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
      152    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
    28/21    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      394    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
      108    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       31    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
